,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
0,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,75990,39490,751,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,5
1,"LG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter wit...",78990,35990,852,1.5,"1,731 Ratings & 209 Reviews",4.2,LG,3
2,Lloyd 1.2 Ton 3 Star Split Inverter AC  - White,54990,30490,854,1.2,"4,805 Ratings & 874 Reviews",4.2,Lloyd,3
3,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split AI Dual Inverter 2 Way Swing, HD Filt...",68990,35990,968,1.5,"4,830 Ratings & 458 Reviews",4.1,LG,3
4,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,58400,36999,967,1.5,724 Ratings & 57 Reviews,4,Daikin,3
5,Lloyd 0.8 Ton 3 Star Split Inverter AC  - White,47990,26999,549,0.8,"4,805 Ratings & 874 Reviews",4.2,Lloyd,3
6,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",62250,35990,1002,1.5,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3
7,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...",75990,44490,685,1.5,"9,269 Ratings & 920 Reviews",4.1,LG,5
8,realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technolog...,48999,27499,965,1,"1,706 Ratings & 236 Reviews",4,realme,4
9,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",73000,43980,770,1.5,"13,188 Ratings & 1,434 Reviews",4.2,Blue,5
10,MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,52999,28999,1620,1.5,743 Ratings & 113 Reviews,4,MarQ,3
11,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,63400,44490,774,1.5,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,5
