,Unnamed: 0,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
229,229,"Blue Star Convertible 4-in-1 Cooling 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalizer Free Oper...",70000.0,42990,1365,1.5,"13,188 Ratings & 1,434 Reviews",4.2,Blue,5.0
230,230,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,71200.0,45940,1602,1.5,3 Ratings & 0 Reviews,5.0,Daikin,5.0
231,231,Whirlpool 1 Ton 4 Star Split AC  - White,45000.0,33500,830,1.0,59 Ratings & 11 Reviews,4.5,Whirlpool,4.0
232,232,CARRIER 1.5 Ton 5 Star Window AC  - White,48990.0,33999,1522,1.5,890 Ratings & 88 Reviews,4.3,CARRIER,5.0
233,233,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,68990.0,40999,1590,1.5,"4,258 Ratings & 402 Reviews",4.2,Voltas,5.0
234,234,SAMSUNG Convertible 1.5 Ton 3 Star Split Inverter AC  - White,62990.0,35690,940,1.5,232 Ratings & 21 Reviews,4.3,SAMSUNG,3.0
235,235,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter UV Nano, 4 Way Swing...",83990.0,50990,685,1.5,36 Ratings & 2 Reviews,4.0,LG,5.0
236,236,MarQ by Flipkart 1 Ton 3 Star Split Inverter AC  - White,39999.0,23490,725,1.0,"13,808 Ratings & 1,948 Reviews",4.3,MarQ,3.0
237,237,Daikin 1.8 Ton 3 Star Hot and Cold Split Inverter AC  - White,76600.0,56700,1820,1.8,35 Ratings & 3 Reviews,4.2,Daikin,3.0
238,238,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,68500.0,32589,2550,1.5,35 Ratings & 3 Reviews,4.2,Whirlpool,3.0
239,239,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,55400.0,35990,1770,1.5,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,3.0
240,240,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...",81990.0,49490,685,1.5,"9,269 Ratings & 920 Reviews",4.1,LG,5.0
241,241,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,50000.0,34990,1590,1.5,10 Ratings & 1 Reviews,4.1,Voltas,3.0
242,242,MarQ by Flipkart 1 Ton 3 Star Split Inverter AC  - White,39999.0,23490,725,1.0,"13,808 Ratings & 1,948 Reviews",4.3,MarQ,3.0
243,243,Blue Star 2 Ton 3 Star Split Inverter AC  - White,71750.0,47990,1261,2.0,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3.0
